english word,anger,fear,anticipation,trust,surprise,sadness,joy,disgust,review
space,0,0,0,0,0,0,0,0,3
floor,0,0,0,0,0,0,0,0,3
ceiling,0,0,0,0,0,0,0,0,3
window,0,0,0,0,0,0,0,0,3
quiet,0,0,0,0,0,1,0,0,3
bathroom,0,0,0,0,0,0,0,0,3
large,0,0,0,0,0,0,0,0,3
shower,0,0,0,0,0,0,0,0,3
bench,0,0,0,0,0,0,0,0,3
unique,0,0,0,0,1,0,0,0,3
spout,0,0,0,0,0,0,0,0,3
wash,0,0,0,0,0,0,0,0,3
foot,0,0,0,0,0,0,0,0,3
touch,0,0,0,0,0,0,0,0,3
stock,0,0,0,0,0,0,0,0,3
offering,0,0,0,1,0,0,0,0,3
beverage,0,0,0,0,0,0,0,0,3
snack,0,0,0,0,0,0,0,0,3
dish,0,0,0,0,0,0,0,0,3
sink,0,0,0,0,0,0,0,0,3
daily,0,0,1,0,0,0,0,0,3
happy,0,0,1,1,0,0,1,0,3
hour,0,0,0,0,0,0,0,0,3
decent,0,0,0,0,0,0,0,0,3
glass,0,0,0,0,0,0,0,0,3
wine,0,0,0,0,0,0,0,0,3
modest,0,0,0,1,0,0,0,0,3
lobby,0,0,0,0,0,0,0,0,3
lounge,0,0,0,0,0,0,0,0,3
bring,0,0,0,0,0,0,0,0,3
room,0,0,0,0,0,0,0,0,3
lobby,0,0,0,0,0,0,0,0,3
lounge,0,0,0,0,0,0,0,0,3
seat,0,0,0,0,0,0,0,0,3
table,0,0,0,0,0,0,0,0,3
chair,0,0,0,0,0,0,0,0,3
buy,0,0,0,0,0,0,0,0,3
food,0,0,0,1,0,0,1,0,3
adjacent,0,0,0,0,0,0,0,0,3
restaurant,0,0,0,0,0,0,0,0,3
suggestion,0,0,0,0,0,0,0,0,3
offer,0,0,0,0,0,0,0,0,3
selection,0,0,0,0,0,0,0,0,3
cracker,0,0,0,0,0,0,0,0,3
platter,0,0,0,0,0,0,0,0,3
wine,0,0,0,0,0,0,0,0,3
order,0,0,0,0,0,0,0,0,3
custom,0,0,0,0,0,0,0,0,3
make,0,0,0,0,0,0,0,0,3
work,0,0,0,0,0,0,0,0,3
eat,0,0,0,0,0,0,0,0,3
hotel,0,0,0,0,0,0,0,0,3
restaurant,0,0,0,0,0,0,0,0,3
restaurant,0,0,0,0,0,0,0,0,3
lobby,0,0,0,0,0,0,0,0,3
breakfast,0,0,0,0,0,0,0,0,3
entree,0,0,0,0,0,0,0,0,3
decent,0,0,0,0,0,0,0,0,3
breakfast,0,0,0,0,0,0,0,0,3
block,0,0,0,0,0,0,0,0,3
hotel,0,0,0,0,0,0,0,0,3
hotel,0,0,0,0,0,0,0,0,3
designer,0,0,0,0,0,0,0,0,3
hotel,0,0,0,0,0,0,0,0,3
stay,0,0,0,0,0,0,0,0,3
recommend,0,0,0,1,0,0,0,0,3
